id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 90.28, hss2:  89.95, cm: [[897, 78], [15, 859]])","Metric(tss: 78.40, hss2:  18.44, cm: [[253980, 37124], [489, 5037]])"
"train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 90.28, hss2:  89.95, cm: [[897, 78], [15, 859]])","Metric(tss: 78.40, hss2:  18.44, cm: [[253980, 37124], [489, 5037]])"
"train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 49.94, hss2:  50.48, cm: [[2202, 218], [234, 336]])","Metric(tss: 41.35, hss2:  9.07, cm: [[276980, 47971], [2736, 3498]])"
"train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 82.94, hss2:  58.86, cm: [[3526, 433], [27, 414]])","Metric(tss: 80.56, hss2:  20.98, cm: [[288354, 36597], [510, 5724]])"
"train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 86.49, hss2:  85.72, cm: [[1407, 201], [14, 1378]])","Metric(tss: 42.12, hss2:  2.67, cm: [[136864, 188087], [0, 6234]])"
"train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 68.31, hss2:  60.73, cm: [[1440, 622], [17, 1097]])","Metric(tss: 58.39, hss2:  5.19, cm: [[194520, 130431], [92, 6142]])"
"train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 36.49, hss2:  43.46, cm: [[140, 231], [10, 794]])","Metric(tss: 21.71, hss2:  1.05, cm: [[74181, 250770], [70, 6164]])"
"train(n)[3200, 600]__batchNone_model[16, 64, 16][16, 32]_None_do[0.2, 0.4]_lr[0.01]_binary",0,,,"[3200, 600]","[16, 64, 16]","[16, 32]","[0.2, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 83.54, hss2:  67.72, cm: [[2555, 325], [27, 495]])","Metric(tss: 78.80, hss2:  20.95, cm: [[259430, 31674], [570, 4956]])"
"train(k)[400, 1000]__batchNone_model[128, 32, 32][64, 32]_avg_do[0.4, 0.0]_lr[0.01]_binary",0,,"[400, 1000]",,"[128, 32, 32]","[64, 32]","[0.4, 0.0]",avg,"[0.4, 0.6]",0.01,"Metric(tss: 86.04, hss2:  85.72, cm: [[359, 38], [43, 936]])","Metric(tss: 60.15, hss2:  5.40, cm: [[196128, 128823], [13, 6221]])"
"train(k)[4000, 1200]__batch1024_model[64, 128, 64][8, 0]_avg_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,1024.0,"[4000, 1200]",,"[64, 128, 64]","[8, 0]","[0.6000000000000001, 0.4]",avg,,0.01,"Metric(tss: 87.34, hss2:  79.33, cm: [[3592, 373], [38, 1131]])","Metric(tss: 70.03, hss2:  17.72, cm: [[286305, 38646], [1127, 5107]])"
