id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(n)[400, 1200, 200, 80]__batch1024_model[32, 16, 32][8, 0]_0_do[0.0, 0.2]_lr[0.01]_multi",0,1024.0,,"[400, 1200, 200, 80]","[32, 16, 32]","[8, 0]","[0.0, 0.2]",0.0,,0.01,"Metric(avg tss:  40.83, tss: [  69.04   48.17    4.10   41.99],hss2: [  73.31   52.33    6.78   40.42] cm: [[283, 108, 1, 0], [47, 1151, 7, 22], [0, 153, 9, 25], [0, 37, 4, 33]])","Metric(avg tss:  42.01, tss: [  64.43   60.44    2.78   40.40],hss2: [  41.48   36.19    4.78   17.69] cm: [[191620, 82323, 166, 133], [3087, 46421, 450, 751], [13, 4666, 170, 840], [0, 261, 61, 223]])"
"train(n)[400, 1200, 200, 80]__batch1024_model[32, 16, 32][8, 0]_0_do[0.0, 0.2]_lr[0.01]_multi",0,1024.0,,"[400, 1200, 200, 80]","[32, 16, 32]","[8, 0]","[0.0, 0.2]",0.0,,0.01,"Metric(avg tss:  40.83, tss: [  69.04   48.17    4.10   41.99],hss2: [  73.31   52.33    6.78   40.42] cm: [[283, 108, 1, 0], [47, 1151, 7, 22], [0, 153, 9, 25], [0, 37, 4, 33]])","Metric(avg tss:  42.01, tss: [  64.43   60.44    2.78   40.40],hss2: [  41.48   36.19    4.78   17.69] cm: [[191620, 82323, 166, 133], [3087, 46421, 450, 751], [13, 4666, 170, 840], [0, 261, 61, 223]])"
"train(k)[1200, 600, 800, 80]__batch128_model[16, 32, 128][64, 16]_None_do[0.0, 0.2]_lr[0.01]_multi",0,128.0,"[1200, 600, 800, 80]",,"[16, 32, 128]","[64, 16]","[0.0, 0.2]",,"[0.1, 0.1, 0.2, 0.6]",0.01,"Metric(avg tss:  66.18, tss: [  69.67   35.07   70.24   89.76],hss2: [  70.46   37.99   65.11   55.34] cm: [[803, 155, 76, 4], [96, 236, 185, 8], [0, 19, 573, 70], [0, 0, 4, 57]])","Metric(avg tss:  43.01, tss: [  63.74   17.81   63.48   26.99],hss2: [  44.96   15.54   13.92    7.86] cm: [[182242, 46406, 14986, 390], [5712, 17219, 23008, 1141], [42, 407, 3922, 748], [0, 0, 294, 113]])"
"train(k)[800, 900, 600, 120]__batchNone_model[32, 16, 16][8, 32]_0_do[0.4, 0.0]_lr[0.01]_multi",0,,"[800, 900, 600, 120]",,"[32, 16, 16]","[8, 32]","[0.4, 0.0]",0.0,"[0.1, 0.1, 0.4, 0.4]",0.01,"Metric(avg tss:  50.28, tss: [  66.20   31.26   52.77   50.91],hss2: [  69.27   33.14   43.53   50.46] cm: [[563, 153, 70, 0], [88, 419, 386, 11], [0, 74, 493, 42], [0, 0, 51, 58]])","Metric(avg tss:  47.57, tss: [  62.28   12.94   61.19   53.88],hss2: [  37.76    9.80   11.17   20.36] cm: [[179180, 70655, 24288, 119], [1729, 19395, 28602, 983], [9, 327, 4410, 943], [0, 0, 248, 297]])"
"train(k)[1600, 300, 200, 120]__batchNone_model[64, 16, 16][16, 32]_0_do[0.0, 0.6000000000000001]_lr[0.01]_multi",0,,"[1600, 300, 200, 120]",,"[64, 16, 16]","[16, 32]","[0.0, 0.6000000000000001]",0.0,"[0.1, 0.1, 0.2, 0.6]",0.01,"Metric(avg tss:  26.32, tss: [  49.43    0.00   13.82   42.05],hss2: [  50.02    0.00   14.65   17.52] cm: [[1430, 0, 86, 114], [150, 0, 21, 121], [47, 0, 37, 101], [24, 0, 18, 58]])","Metric(avg tss:  22.15, tss: [  42.54    0.00    3.06   42.99],hss2: [  32.91    0.00    0.93    0.70] cm: [[212319, 0, 25322, 36601], [18570, 0, 6037, 26102], [1127, 0, 723, 3839], [165, 0, 36, 344]])"
"train(k)[1200, 1200, 600, 80]__batch128_model[16, 16, 16][8, 16]_avg_do[0.4, 0.2]_lr[0.01]_multi",0,128.0,"[1200, 1200, 600, 80]",,"[16, 16, 16]","[8, 16]","[0.4, 0.2]",avg,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  47.21, tss: [  68.65   41.30   69.22    9.65],hss2: [  69.59   42.97   54.04   16.08] cm: [[927, 207, 55, 0], [174, 671, 359, 1], [1, 57, 519, 6], [0, 4, 78, 9]])","Metric(avg tss:  42.75, tss: [  65.73   25.55   79.73   -0.02],hss2: [  44.86   19.92   21.00   -0.04] cm: [[202719, 61004, 10506, 13], [4640, 24087, 21935, 47], [21, 543, 5112, 13], [0, 24, 521, 0]])"
"train(n)[800, 900, 600, 160]__batch1024_model[64, 32, 64][16, 0]_0_do[0.6000000000000001, 0.0]_lr[0.01]_multi",0,1024.0,,"[800, 900, 600, 160]","[64, 32, 64]","[16, 0]","[0.6000000000000001, 0.0]",0,,0.01,"Metric(avg tss:  50.28, tss: [  67.65   37.45   42.90   53.10],hss2: [  70.35   37.84   39.77   49.21] cm: [[573, 188, 20, 0], [94, 553, 273, 14], [2, 140, 363, 81], [0, 4, 64, 91]])","Metric(avg tss:  50.24, tss: [  61.79   34.58   48.95   55.65],hss2: [  44.67   27.03   18.86   19.48] cm: [[210626, 55805, 7607, 204], [8483, 27906, 13253, 1067], [66, 1477, 3152, 994], [0, 79, 159, 307]])"
"train(n)[1200, 1200, 800, 80]__batchNone_model[64, 64, 16][16, 0]_None_do[0.2, 0.0]_lr[0.01]_multi",0,,,"[1200, 1200, 800, 80]","[64, 64, 16]","[16, 0]","[0.2, 0.0]",,,0.01,"Metric(avg tss:  44.68, tss: [  72.19   46.99   59.55    0.00],hss2: [  74.76   46.36   56.10    0.00] cm: [[785, 229, 9, 0], [84, 792, 253, 0], [3, 185, 535, 0], [0, 5, 58, 0]])","Metric(avg tss:  31.66, tss: [  44.48    4.57   60.79   16.82],hss2: [  51.26    7.19   24.26    1.43] cm: [[234589, 2103, 4769, 2563], [26662, 2582, 12300, 5536], [513, 164, 3417, 1025], [0, 3, 323, 81]])"
"train(n)[1200, 900, 800, 160]__batch128_model[128, 32, 16][16, 0]_None_do[0.2, 0.4]_lr[0.01]_multi",0,128.0,,"[1200, 900, 800, 160]","[128, 32, 16]","[16, 0]","[0.2, 0.4]",,"[0.1, 0.1, 0.2, 0.6]",0.01,"Metric(avg tss:  61.80, tss: [  73.50   28.85   56.62   88.23],hss2: [  73.57   32.94   52.02   58.77] cm: [[887, 126, 46, 2], [162, 301, 322, 24], [7, 35, 542, 136], [0, 0, 8, 137]])","Metric(avg tss:  44.24, tss: [  63.42   15.70   63.07   34.77],hss2: [  48.82   15.43   14.43    7.41] cm: [[195201, 34751, 13624, 448], [8708, 14005, 22479, 1888], [9, 309, 3867, 934], [0, 0, 261, 146]])"
"train(n)[1200, 900, 600, 80]__batch1024_model[128, 32, 16][16, 16]_0_do[0.6000000000000001, 0.4]_lr[0.01]_multi",0,1024.0,,"[1200, 900, 600, 80]","[128, 32, 16]","[16, 16]","[0.6000000000000001, 0.4]",0,"[0.2, 0.2, 0.3, 0.3]",0.01,"Metric(avg tss:  24.88, tss: [  42.21   15.48   41.83    0.00],hss2: [  42.01   17.68   31.82    0.00] cm: [[809, 179, 195, 0], [273, 251, 406, 0], [130, 33, 423, 0], [15, 1, 65, 0]])","Metric(avg tss:  23.00, tss: [  34.25   12.03   45.73    0.00],hss2: [  21.97   10.70    6.87    0.00] cm: [[176735, 50204, 47303, 0], [15728, 15283, 19698, 0], [1328, 581, 3780, 0], [136, 0, 409, 0]])"
