id,model id,run no.,val_part,test_part,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,best_val_run,test_run
"train(k)[1200, 1000]_val[0.2]_test[1]_batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary","train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,0.2,1,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 92.30, hss2:  92.35, cm: [[170, 11], [3, 182]])","Metric(tss: 76.69, hss2:  18.67, cm: [[60400, 7609], [143, 1037]])"
"train(k)[1200, 1000]_val[0.2]_test[1]_batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary","train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,0.2,1,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 92.30, hss2:  92.35, cm: [[170, 11], [3, 182]])","Metric(tss: 76.69, hss2:  18.67, cm: [[60400, 7609], [143, 1037]])"
"train(k)[1200, 1000]_val[0.2]_test[2]_batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary","train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,0.2,2,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 92.40, hss2:  91.86, cm: [[190, 13], [2, 165]])","Metric(tss: 75.81, hss2:  14.22, cm: [[66814, 11442], [123, 1162]])"
"train(k)[1200, 1000]_val[0.2]_test[3]_batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary","train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,0.2,3,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 88.98, hss2:  88.07, cm: [[184, 20], [2, 163]])","Metric(tss: 77.37, hss2:  24.38, cm: [[30699, 5836], [85, 1192]])"
"train(k)[1200, 1000]_val[0.2]_test[4]_batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary","train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,0.2,4,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 88.62, hss2:  87.70, cm: [[189, 20], [3, 163]])","Metric(tss: 80.64, hss2:  16.92, cm: [[35819, 6876], [29, 861]])"
"train(k)[1200, 1000]_val[0.2]_test[5]_batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary","train(k)[1200, 1000]__batchNone_model[64, 16, 16][32, 16]_None_do[0.0, 0.0]_lr[0.01]_binary",0,0.2,5,,"[1200, 1000]",,"[64, 16, 16]","[32, 16]","[0.0, 0.0]",,,0.01,"Metric(tss: 89.52, hss2:  89.67, cm: [[164, 14], [5, 186]])","Metric(tss: 79.64, hss2:  20.43, cm: [[60248, 5361], [109, 785]])"
"train(k)[2400, 600]_val[0.2]_test[1]_batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary","train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,0.2,1,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss:  0.00, hss2:  0.00, cm: [[480, 0], [117, 0]])","Metric(tss:  0.00, hss2:  0.00, cm: [[72238, 0], [1254, 0]])"
"train(k)[2400, 600]_val[0.2]_test[2]_batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary","train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,0.2,2,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 87.20, hss2:  70.71, cm: [[429, 63], [0, 106]])","Metric(tss: 72.76, hss2:  8.94, cm: [[66771, 20385], [54, 1347]])"
"train(k)[2400, 600]_val[0.2]_test[3]_batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary","train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,0.2,3,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss:  0.00, hss2:  0.00, cm: [[483, 0], [112, 0]])","Metric(tss:  0.00, hss2:  0.00, cm: [[41086, 0], [1424, 0]])"
"train(k)[2400, 600]_val[0.2]_test[4]_batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary","train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,0.2,4,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 79.79, hss2:  63.41, cm: [[404, 81], [4, 110]])","Metric(tss: 75.51, hss2:  12.29, cm: [[37826, 12270], [0, 1165]])"
"train(k)[2400, 600]_val[0.2]_test[5]_batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary","train(k)[2400, 600]__batch1024_model[128, 64, 64][8, 32]_avg_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,0.2,5,1024.0,"[2400, 600]",,"[128, 64, 64]","[8, 32]","[0.4, 0.6000000000000001]",avg,"[0.3, 0.7]",0.01,"Metric(tss: 83.76, hss2:  68.34, cm: [[406, 74], [1, 120]])","Metric(tss: 79.00, hss2:  9.15, cm: [[59059, 15316], [4, 986]])"
"train(n)[4000, 400]_val[0.2]_test[1]_batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary","train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,0.2,1,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 86.21, hss2:  62.40, cm: [[734, 69], [4, 73]])","Metric(tss: 76.29, hss2:  19.12, cm: [[64443, 7795], [162, 1092]])"
"train(n)[4000, 400]_val[0.2]_test[2]_batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary","train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,0.2,2,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 88.31, hss2:  63.59, cm: [[723, 74], [2, 81]])","Metric(tss: 79.84, hss2:  18.45, cm: [[77550, 9606], [128, 1273]])"
"train(n)[4000, 400]_val[0.2]_test[3]_batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary","train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,0.2,3,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 79.89, hss2:  54.53, cm: [[674, 109], [6, 91]])","Metric(tss: 78.80, hss2:  22.67, cm: [[33732, 7354], [47, 1377]])"
"train(n)[4000, 400]_val[0.2]_test[4]_batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary","train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,0.2,4,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 84.58, hss2:  54.76, cm: [[676, 113], [1, 90]])","Metric(tss: 80.35, hss2:  18.94, cm: [[42314, 7782], [48, 1117]])"
"train(n)[4000, 400]_val[0.2]_test[5]_batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary","train(n)[4000, 400]__batch1024_model[16, 64, 64][32, 16]_0_do[0.4, 0.2]_lr[0.01]_binary",0,0.2,5,1024.0,,"[4000, 400]","[16, 64, 64]","[32, 16]","[0.4, 0.2]",0,,0.01,"Metric(tss: 76.31, hss2:  60.75, cm: [[719, 68], [14, 79]])","Metric(tss: 81.91, hss2:  27.67, cm: [[70315, 4060], [125, 865]])"
"train(n)[1600, 1400]_val[0.2]_test[1]_batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary","train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,0.2,1,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 86.33, hss2:  86.03, cm: [[271, 38], [4, 287]])","Metric(tss: 33.92, hss2:  1.72, cm: [[24505, 47733], [0, 1254]])"
"train(n)[1600, 1400]_val[0.2]_test[2]_batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary","train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,0.2,2,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 88.53, hss2:  87.70, cm: [[288, 36], [1, 275]])","Metric(tss:  0.24, hss2:  0.01, cm: [[210, 86946], [0, 1401]])"
"train(n)[1600, 1400]_val[0.2]_test[3]_batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary","train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,0.2,3,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 86.33, hss2:  85.02, cm: [[293, 42], [3, 262]])","Metric(tss: 56.10, hss2:  7.89, cm: [[23050, 18036], [0, 1424]])"
"train(n)[1600, 1400]_val[0.2]_test[4]_batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary","train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,0.2,4,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 86.57, hss2:  86.05, cm: [[276, 39], [3, 282]])","Metric(tss: 67.86, hss2:  8.76, cm: [[33996, 16100], [0, 1165]])"
"train(n)[1600, 1400]_val[0.2]_test[5]_batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary","train(n)[1600, 1400]__batch1024_model[32, 64, 128][16, 32]_avg_do[0.2, 0.6000000000000001]_lr[0.01]_binary",0,0.2,5,1024.0,,"[1600, 1400]","[32, 64, 128]","[16, 32]","[0.2, 0.6000000000000001]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 84.76, hss2:  83.75, cm: [[279, 46], [3, 272]])","Metric(tss: 74.09, hss2:  6.99, cm: [[55103, 19272], [0, 990]])"
"train(k)[2000, 1200]_val[0.2]_test[1]_batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary","train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,0.2,1,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 84.60, hss2:  80.22, cm: [[356, 56], [4, 217]])","Metric(tss: 78.97, hss2:  13.04, cm: [[59296, 12942], [39, 1215]])"
"train(k)[2000, 1200]_val[0.2]_test[2]_batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary","train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,0.2,2,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 85.23, hss2:  80.56, cm: [[347, 58], [1, 221]])","Metric(tss: 70.83, hss2:  7.91, cm: [[64470, 22686], [44, 1357]])"
"train(k)[2000, 1200]_val[0.2]_test[3]_batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary","train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,0.2,3,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 84.96, hss2:  82.05, cm: [[373, 44], [10, 213]])","Metric(tss: 75.90, hss2:  17.79, cm: [[31442, 9644], [9, 1415]])"
"train(k)[2000, 1200]_val[0.2]_test[4]_batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary","train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,0.2,4,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 88.34, hss2:  84.93, cm: [[364, 44], [2, 227]])","Metric(tss: 78.47, hss2:  14.21, cm: [[39312, 10784], [0, 1165]])"
"train(k)[2000, 1200]_val[0.2]_test[5]_batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary","train(k)[2000, 1200]__batchNone_model[128, 16, 16][64, 16]_0_do[0.4, 0.0]_lr[0.01]_binary",0,0.2,5,,"[2000, 1200]",,"[128, 16, 16]","[64, 16]","[0.4, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss:  0.00, hss2:  0.00, cm: [[0, 420], [0, 219]])","Metric(tss:  0.00, hss2:  0.00, cm: [[0, 74375], [0, 990]])"
"train(k)[400, 800]_val[0.2]_test[1]_batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary","train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,0.2,1,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss:  0.00, hss2:  0.00, cm: [[0, 62], [0, 172]])","Metric(tss:  0.00, hss2:  0.00, cm: [[0, 72238], [0, 1254]])"
"train(k)[400, 800]_val[0.2]_test[2]_batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary","train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,0.2,2,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss:  0.00, hss2:  0.00, cm: [[0, 71], [0, 161]])","Metric(tss:  0.00, hss2:  0.00, cm: [[0, 87156], [0, 1401]])"
"train(k)[400, 800]_val[0.2]_test[3]_batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary","train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,0.2,3,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 87.16, hss2:  88.29, cm: [[70, 8], [4, 151]])","Metric(tss: 79.98, hss2:  24.22, cm: [[34245, 6841], [48, 1376]])"
"train(k)[400, 800]_val[0.2]_test[4]_batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary","train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,0.2,4,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss: 88.40, hss2:  88.40, cm: [[70, 6], [6, 156]])","Metric(tss: 77.83, hss2:  14.83, cm: [[39936, 10160], [22, 1143]])"
"train(k)[400, 800]_val[0.2]_test[5]_batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary","train(k)[400, 800]__batch1024_model[128, 128, 64][8, 0]_0_do[0.2, 0.0]_lr[0.01]_binary",0,0.2,5,1024.0,"[400, 800]",,"[128, 128, 64]","[8, 0]","[0.2, 0.0]",0,"[0.4, 0.6]",0.01,"Metric(tss:  0.00, hss2:  0.00, cm: [[0, 84], [0, 154]])","Metric(tss:  0.00, hss2:  0.00, cm: [[0, 74375], [0, 990]])"
"train(n)[3200, 600]_val[0.2]_test[1]_batchNone_model[16, 64, 16][16, 32]_None_do[0.2, 0.4]_lr[0.01]_binary","train(n)[3200, 600]__batchNone_model[16, 64, 16][16, 32]_None_do[0.2, 0.4]_lr[0.01]_binary",0,0.2,1,,,"[3200, 600]","[16, 64, 16]","[16, 32]","[0.2, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 85.70, hss2:  65.64, cm: [[495, 76], [1, 100]])","Metric(tss: 74.72, hss2:  19.48, cm: [[61019, 6990], [177, 1003]])"
